city,station_name,empty_slots,slots,free_bikes,ebikes,latitude,longitude,timestamp
Vancouver,Dunbar & 6th,9,16,7,1,49.266636,-123.183661,2023-06-03T16:41:30.029000Z
Vancouver,18th & Cambie,19,24,5,5,49.254818,-123.114785,2023-06-03T16:41:29.735000Z
Vancouver,Blenheim & 4th,16,23,7,0,49.268837,-123.177633,2023-06-03T16:41:29.738000Z
Vancouver,18th & Heather,13,16,3,1,49.255034,-123.120226,2023-06-03T16:41:29.845000Z
Vancouver,Point Grey & Bayswater,10,16,6,0,49.271044,-123.170661,2023-06-03T16:41:29.870000Z
Vancouver,20th & Main,14,16,2,1,49.252691,-123.101289,2023-06-03T16:41:29.740000Z
Vancouver,Station & Terminal,6,18,12,1,49.272172,-123.097978,2023-06-03T16:41:29.841000Z
Vancouver,Jericho Beach,7,34,27,8,49.271082,-123.191458,2023-06-03T16:41:30.002000Z
Vancouver,Burrard & Drake,10,24,13,2,49.27808,-123.130557,2023-06-03T16:41:30.008000Z
Vancouver,Columbia & 1st,11,24,12,2,49.269969,-123.109623,2023-06-03T16:41:29.897000Z
Vancouver,Davie & Beach,18,30,12,4,49.287528,-123.142139,2023-06-03T16:41:30.020000Z
Vancouver,Morton & Denman,18,26,8,2,49.28803,-123.142135,2023-06-03T16:41:29.688000Z
Vancouver,13th & Cambie,13,14,0,0,49.259579,-123.114769,2023-06-03T16:41:30.041000Z
Vancouver,Nelson & Denman,7,18,9,0,49.2890705989865,-123.138407369468,2023-06-03T16:41:30.061000Z
Vancouver,Melville & Bute,8,14,6,1,49.287782,-123.12395,2023-06-03T16:41:29.857000Z
Vancouver,Seymour & Cordova,7,19,12,1,49.28512,-123.11242,2023-06-03T16:41:29.843000Z
Vancouver,Arbutus & Nanton,9,18,7,6,49.247854,-123.153422,2023-06-03T16:41:29.954000Z
Vancouver,Yukon & 6th,2,18,10,5,49.265939,-123.1129,2023-06-03T16:41:29.896000Z
Vancouver,11th & Kingsway,13,16,2,2,49.261122,-123.097571,2023-06-03T16:41:29.872000Z
Vancouver,Wylie & 2nd,3,18,15,1,49.267725,-123.11311,2023-06-03T16:41:29.700000Z
Vancouver,29th & Cambie,16,20,4,0,49.245135,-123.116098,2023-06-03T16:41:29.767000Z
Vancouver,Rolston & Granville,8,16,5,1,49.274232,-123.129998,2023-06-03T16:41:30.051000Z
Vancouver,East Blvd & 37th,9,20,11,0,49.238105,-123.154966,2023-06-03T16:41:29.979000Z
Vancouver,28th & Willow,17,20,3,3,49.246243,-123.124373,2023-06-03T16:41:29.705000Z
Vancouver,Ontario & 23rd,7,12,5,1,49.249722,-123.104991,2023-06-03T16:41:30.085000Z
Vancouver,30th & Ontario,10,22,12,6,49.243375,-123.104978,2023-06-03T16:41:30.001000Z
Vancouver,Franklin & Nanaimo,11,20,9,2,49.282087,-123.056909,2023-06-03T16:41:29.967000Z
Vancouver,Lakewood & Triumph,12,16,4,2,49.283968,-123.061615,2023-06-03T16:41:29.921000Z
Vancouver,Wall & Eton,3,18,15,1,49.287464,-123.060771,2023-06-03T16:41:29.739000Z
Vancouver,Lakewood & Oxford,13,18,5,0,49.285575,-123.061575,2023-06-03T16:41:29.888000Z
Vancouver,22nd & Cambie,13,14,1,1,49.251358,-123.115637,2023-06-03T16:41:29.736000Z
Vancouver,King Edward & Cambie,15,18,2,0,49.249184,-123.116141,2023-06-03T16:41:29.768000Z
Vancouver,Heather & 29th,14,22,8,2,49.245535,-123.120496,2023-06-03T16:41:29.842000Z
Vancouver,Cardero & Robson,4,26,22,4,49.289255,-123.132677,2023-06-03T16:41:29.719000Z
Vancouver,Commercial & 20th,19,20,1,1,49.252656,-123.067965,2023-06-03T16:41:29.835000Z
Vancouver,Burrard & 14th,9,18,5,3,49.259469,-123.145718,2023-06-03T16:41:29.846000Z
Vancouver,Hornby & Drake,18,24,6,1,49.277178,-123.13,2023-06-03T16:41:29.867000Z
Vancouver,Cardero & Bayshore,3,20,15,0,49.291597,-123.129158,2023-06-03T16:41:29.780000Z
Vancouver,27th & Main,21,22,1,1,49.247204,-123.101549,2023-06-03T16:41:30.010000Z
Vancouver,Cordova & Granville,8,18,9,0,49.2856698,-123.1125432,2023-06-03T16:41:30.015000Z
